S/N,Forest Id,Tree Species,Family,Dbh(cm),Db(m),Dm(m),Dt(m),Ht(m),Density,Plot Id
2181,10,Cola millenii,Malvaceae,14.7,0.18,0.12,0.03,11.7,0.77,Plot10_10
2182,10,Sterculia rhinopetala,Malvaceae,41.5,0.43,0.34,0.05,22,0.64,Plot10_10
2183,10,Ricinodendron heudelotii,Euphorbiaceae,55.4,0.62,0.42,0.07,24,0.22,Plot10_10
2184,10,Ricinodendron heudelotii,Euphorbiaceae,23.8,0.3,0.17,0.04,16.9,0.22,Plot10_10
2185,10,Pouteria alnifolia,Fabaceae,12,0.15,0.07,0.04,16,0.55,Plot10_10
2186,10,Trilepisium madagascariense,Moraceae,17.2,0.19,0.13,0.05,21.2,0.5,Plot10_10
2187,10,Celtis philippensis,Cannabaceae,29.1,0.33,0.2,0.07,21.4,0.72,Plot10_10
2188,10,Newbouldia laevis,Bignoniaceae,16.4,0.19,0.11,0.03,13.4,0.49,Plot10_10
2189,10,Cola millenii,Malvaceae,25,0.27,0.15,0.04,15.3,0.77,Plot10_10
2190,10,Dialium guineense ,Fabaceae,16.2,0.2,0.11,0.05,18.1,0.88,Plot10_10
2191,10,Cola gigantea,Malvaceae,15.2,0.212,0.117,0.032,17,0.54,Plot10_10
2192,10,Ricinodendron heudelotii,Euphorbiaceae,26.7,0.288,0.145,0.071,25.5,0.22,Plot10_10
2193,10,Cola millenii,Malvaceae,15,0.18,0.092,0.039,15.3,0.77,Plot10_10
2194,10,Ricinodendron heudelotii,Euphorbiaceae,66.7,0.672,0.432,0.059,23.2,0.22,Plot10_11
2195,10,Microdesmis puberula,Pandacea,18,0.215,0.119,0.031,11.2,0.7,Plot10_11
2196,10,Ricinodendron heudelotii,Euphorbiaceae,80.4,0.85,0.67,0.085,22,0.22,Plot10_11
2197,10,Brachystegia eurycoma,Fabaceae,50.4,0.54,0.48,0.059,21.8,0.52,Plot10_11
2198,10,Cola gigantea,Malvaceae,19.5,0.25,0.147,0.037,17,0.54,Plot10_11
2199,10,Cola gigantea,Malvaceae,17,0.19,0.141,0.043,22.5,0.54,Plot10_11
2200,10,Cola gigantea,Malvaceae,12.3,0.16,0.119,0.049,15.3,0.54,Plot10_11
2201,10,Triplochiton scleroxylon,Malvaceae,28.8,0.343,0.275,0.065,22.7,0.34,Plot10_11
2202,10,Hildegardia barteri,Malvaceae,75,0.825,0.52,0.085,25.2,0.33,Plot10_11
2203,10,Sterculia tragacantha,Malvaceae,26.3,0.32,0.147,0.065,21.3,0.48,Plot10_11
2204,10,Blighia sapida,Sapindaceae,46,0.58,0.392,0.053,21.2,0.81,Plot10_11
2205,10,Cola millenii,Malvaceae,14.7,0.181,0.119,0.03,11.7,0.77,Plot10_11
2206,10,Sterculia rhinopetala,Malvaceae,41.5,0.43,0.336,0.049,22,0.64,Plot10_11
2207,10,Ricinodendron heudelotii,Euphorbiaceae,55.4,0.617,0.421,0.069,24,0.22,Plot10_11
2208,10,Trilepisium madagascariense,Moraceae,21.3,0.29,0.137,0.05,21.5,0.5,Plot10_11
2209,10,Ricinodendron heudelotii,Euphorbiaceae,24.2,0.297,0.162,0.045,20.3,0.22,Plot10_11
2210,10,Microdesmis puberula,Pandacea,17,0.128,0.095,0.06,17,0.7,Plot10_11
2211,10,Dialium guineense ,Fabaceae,17.3,0.193,0.145,0.065,20.6,0.88,Plot10_11
2212,10,Ricinodendron heudelotii,Euphorbiaceae,43,0.45,0.32,0.085,24.8,0.22,Plot10_11
2213,10,Celtis zenkeri,Cannabaceae,51.3,0.629,0.405,0.079,23.8,0.65,Plot10_11
2214,10,Ceiba pentandra,Malvaceae,84,0.915,0.64,0.1,26.4,0.3,Plot10_11
2215,10,Celtis zenkeri,Cannabaceae,35,0.428,0.238,0.065,23,0.65,Plot10_11
2216,10,Pterygota macrocarpa,Malvaceae,42,0.482,0.33,0.072,25,0.52,Plot10_11
2217,10,Pterygota macrocarpa,Malvaceae,28.4,0.33,0.2,0.057,21.8,0.52,Plot10_11
2218,10,Hildegardia barteri,Malvaceae,17.5,0.341,0.119,0.04,19.1,0.33,Plot10_11
2219,10,Cola millenii,Malvaceae,13.6,0.142,0.092,0.037,20.8,0.77,Plot10_12
2220,10,Cola millenii,Malvaceae,21.5,0.23,0.105,0.04,20.8,0.77,Plot10_12
2221,10,Blighia sapida,Sapindaceae,69.5,0.753,0.479,0.05,22.8,0.81,Plot10_12
2222,10,Cola gigantea,Malvaceae,49,0.514,0.395,0.065,25.1,0.54,Plot10_12
2223,10,Albizia ferruginea,Fabaceae,62.8,0.63,0.54,0.075,21.5,0.47,Plot10_12
2224,10,Cola millenii,Malvaceae,24.4,0.483,0.139,0.042,15.7,0.77,Plot10_12
2225,10,Cola millenii,Malvaceae,16,0.202,0.123,0.05,18.1,0.77,Plot10_12
2226,10,Olax subscorpioidea,Olacaceae,18.5,0.195,0.125,0.037,19.7,0.77,Plot10_12
2227,10,Cola gigantea,Malvaceae,63.5,0.703,0.532,0.063,22.4,0.54,Plot10_12
2228,10,Cola gigantea,Malvaceae,15.7,0.19,0.053,0.05,19,0.54,Plot10_12
2229,10,Celtis zenkeri,Cannabaceae,14.5,0.18,0.097,0.045,12.3,0.65,Plot10_12
2230,10,Olax subscorpioidea,Olacaceae,31.8,0.75,0.15,0.05,20.8,0.77,Plot10_12
2231,10,Olax subscorpioidea,Olacaceae,20.3,0.75,0.15,0.04,20.8,0.77,Plot10_12
2232,10,Olax subscorpioidea,Olacaceae,18.5,0.75,0.132,0.043,20.8,0.77,Plot10_12
2233,10,Celtis zenkeri,Cannabaceae,37.3,0.492,0.295,0.056,17.8,0.65,Plot10_12
2234,10,Celtis zenkeri,Cannabaceae,42,0.473,0.387,0.059,24.2,0.65,Plot10_12
2235,10,Ricinodendron heudelotii,Euphorbiaceae,48.5,0.55,0.37,0.075,20.5,0.22,Plot10_12
2236,10,Alstonia boonei,Apocynaceae,38.5,0.519,0.295,0.065,25.4,0.37,Plot10_12
2237,10,Ricinodendron heudelotii,Euphorbiaceae,25,0.34,0.125,0.04,20.3,0.22,Plot10_12
2238,10,Triplochiton scleroxylon,Malvaceae,42.7,0.472,0.317,0.05,22.8,0.34,Plot10_12
2239,10,Sterculia tragacantha,Malvaceae,18.5,0.225,0.13,0.055,21.2,0.48,Plot10_12
2240,10,Ceiba pentandra,Malvaceae,53.5,0.628,0.42,0.053,25.4,0.3,Plot10_12
2241,10,Pterygota macrocarpa,Malvaceae,65.8,0.84,0.437,0.075,25,0.52,Plot10_12
2242,10,Brachystegia eurycoma,Fabaceae,56.5,0.61,0.49,0.056,24.2,0.52,Plot10_12
2243,10,Trichilia heudelotii,Meliaceae,15,0.24,0.127,0.05,14.3,0.44,Plot10_12
2244,10,Sterculia oblonga,Malvaceae,75,0.8,0.68,0.065,25.1,0.61,Plot10_12
2245,10,Cola millenii,Malvaceae,21.8,0.358,0.168,0.045,17.3,0.77,Plot10_12
2246,10,Ricinodendron heudelotii,Euphorbiaceae,45.4,0.545,0.345,0.075,23.8,0.22,Plot10_12
2247,10,Mansonia altissima,Malvaceae,22.7,0.271,0.125,0.049,21.3,0.58,Plot10_12
2248,10,Hildegardia barteri,Malvaceae,35.5,0.393,0.29,0.049,20,0.33,Plot10_12
2249,10,Cola millenii,Malvaceae,23,0.26,0.172,0.039,21.1,0.77,Plot10_13
2250,10,Triplochiton scleroxylon,Malvaceae,99.7,1.075,0.715,0.075,26.4,0.34,Plot10_13
2251,10,Mansonia altissima,Malvaceae,22.3,0.273,0.129,0.06,21.3,0.58,Plot10_13
2252,10,Microdesmis puberula,Pandacea,21.5,0.235,0.149,0.058,12,0.7,Plot10_13
2253,10,Ceiba pentandra,Malvaceae,47,0.53,0.39,0.05,21.6,0.3,Plot10_13
2254,10,Microdesmis puberula,Pandacea,13,0.176,0.095,0.04,11.6,0.7,Plot10_13
2255,10,Cola millenii,Malvaceae,21,0.26,0.14,0.049,21.9,0.77,Plot10_13
2256,10,Brachystegia eurycoma,Fabaceae,61,0.632,0.41,0.065,25.3,0.52,Plot10_13
2257,10,Piptadeniastrum africanum,Fabaceae,56.2,0.603,0.45,0.06,24.1,0.64,Plot10_13
2258,10,Dialium guineense ,Fabaceae,17,0.218,0.1,0.06,19.6,0.88,Plot10_13
2259,10,Microdesmis puberula,Pandacea,23.3,0.262,0.125,0.05,14.4,0.7,Plot10_13
2260,10,Brachystegia eurycoma,Fabaceae,20.8,0.232,0.14,0.069,22.2,0.52,Plot10_13
2261,10,Cola millenii,Malvaceae,26,0.32,0.15,0.05,21.3,0.77,Plot10_13
2262,10,Ceiba pentandra,Malvaceae,41.6,0.45,0.312,0.05,24.8,0.3,Plot10_13
2263,10,Milicia excelsa,Moraceae,56,0.648,0.47,0.07,23.4,0.59,Plot10_13
2264,10,Ricinodendron heudelotii,Euphorbiaceae,77.2,0.834,0.52,0.08,25.1,0.22,Plot10_13
2265,10,Olax subscorpioidea,Olacaceae,31,0.383,0.26,0.07,22.6,0.77,Plot10_13
2266,10,Dialium guineense ,Fabaceae,19.6,0.225,0.103,0.04,21.5,0.88,Plot10_13
2267,10,Ricinodendron heudelotii,Euphorbiaceae,21.1,0.268,0.122,0.052,21.1,0.22,Plot10_13
2268,10,Dialium guineense ,Fabaceae,15,0.18,0.1,0.032,20.4,0.88,Plot10_13
2269,10,Cola millenii,Malvaceae,24.3,0.272,0.155,0.07,20.7,0.77,Plot10_13
2270,10,Cola gigantea,Malvaceae,12.4,0.159,0.092,0.05,16.6,0.54,Plot10_13
2271,10,Trilepisium madagascariense,Moraceae,29.4,0.359,0.137,0.049,20.5,0.5,Plot10_13
2272,10,Celtis zenkeri,Cannabaceae,18,0.248,0.115,0.05,20.8,0.65,Plot10_13
2273,10,Sterculia tragacantha,Malvaceae,18.5,0.219,0.111,0.049,19.4,0.48,Plot10_13
2274,10,Sterculia tragacantha,Malvaceae,13.3,0.161,0.1,0.06,20.7,0.48,Plot10_13
2275,10,Dialium guineense ,Fabaceae,14.3,0.174,0.1,0.036,19.8,0.88,Plot10_13
2276,10,Ceiba pentandra,Malvaceae,24.2,0.28,0.2,0.056,22.2,0.3,Plot10_13
2277,10,Ceiba pentandra,Malvaceae,89,1.1,0.67,0.059,25.5,0.3,Plot10_13
2278,10,Cola millenii,Malvaceae,21,0.26,0.14,0.049,21.9,0.77,Plot10_13
2279,10,Cola gigantea,Malvaceae,15.3,0.2,0.112,0.063,22.4,0.54,Plot10_14
2280,10,Triplochiton scleroxylon,Malvaceae,21,0.241,0.15,0.05,22.2,0.34,Plot10_14
2281,10,Triplochiton scleroxylon,Malvaceae,15.4,0.183,0.113,0.058,21.6,0.34,Plot10_14
2282,10,Triplochiton scleroxylon,Malvaceae,7.4,0.136,0.062,0.049,22.2,0.34,Plot10_14
2283,10,Triplochiton scleroxylon,Malvaceae,28.1,0.34,0.209,0.06,22.2,0.34,Plot10_14
2284,10,Triplochiton scleroxylon,Malvaceae,16.2,0.205,0.099,0.05,21.9,0.34,Plot10_14
2285,10,Triplochiton scleroxylon,Malvaceae,21.6,0.265,0.157,0.05,22.7,0.34,Plot10_14
2286,10,Funtumia elastica,Apocynaceae,16.5,0.198,0.111,0.059,21.9,0.51,Plot10_14
2287,10,Brachystegia eurycoma,Fabaceae,20.8,0.232,0.14,0.069,22.2,0.52,Plot10_14
2288,10,Cola millenii,Malvaceae,26,0.32,0.15,0.05,21.3,0.77,Plot10_14
2289,10,Ceiba pentandra,Malvaceae,28.2,0.305,0.159,0.05,20.9,0.3,Plot10_14
2290,10,Milicia excelsa,Moraceae,56,0.648,0.47,0.07,23.4,0.59,Plot10_14
2291,10,Ricinodendron heudelotii,Euphorbiaceae,77.2,0.834,0.52,0.08,25.1,0.22,Plot10_14
2292,10,Olax subscorpioidea,Olacaceae,31,0.383,0.26,0.07,22.6,0.77,Plot10_14
2293,10,Dialium guineense ,Fabaceae,20,0.24,0.13,0.05,16.3,0.88,Plot10_14
2294,10,Ricinodendron heudelotii,Euphorbiaceae,21.1,0.268,0.122,0.052,21.1,0.22,Plot10_14
2295,10,Dialium guineense ,Fabaceae,17.5,0.2,0.123,0.052,19.6,0.88,Plot10_14
2296,10,Cola millenii,Malvaceae,12.8,0.165,0.099,0.043,21.9,0.77,Plot10_14
2297,10,Celtis zenkeri,Cannabaceae,31.3,0.376,0.23,0.06,22.5,0.65,Plot10_14
2298,10,Cola gigantea,Malvaceae,15.1,0.22,0.12,0.04,21.2,0.54,Plot10_14
2299,10,Zanthoxylum leprieurii,Rutaceae,19,0.21,0.15,0.067,15.1,0.59,Plot10_14
2300,10,Celtis philippensis,Cannabaceae,20,0.24,0.12,0.04,21.5,0.72,Plot10_14
2301,10,Newbouldia laevis,Bignoniaceae,15,0.172,0.099,0.05,17.3,0.49,Plot10_14
2302,10,Cola gigantea,Malvaceae,15.2,0.2,0.1,0.049,21,0.54,Plot10_14
2303,10,Albizia zygia,Fabaceae,14,0.19,0.11,0.049,15.7,0.46,Plot10_14
2304,10,Dialium guineense ,Fabaceae,28.5,0.333,0.18,0.04,16.4,0.88,Plot10_14
2305,10,Ceiba pentandra,Malvaceae,98.7,1.152,0.507,0.049,24.9,0.3,Plot10_14
2306,10,Trichilia heudelotii,Meliaceae,14.9,0.21,0.11,0.054,17.9,0.44,Plot10_14
2307,10,Cola gigantea,Malvaceae,34.5,0.4,0.27,0.056,23.4,0.54,Plot10_14
2308,10,Ricinodendron heudelotii,Euphorbiaceae,57.5,0.747,0.39,0.05,21.8,0.22,Plot10_14
2309,10,Funtumia elastica,Apocynaceae,19.4,0.213,0.121,0.06,12.8,0.51,Plot10_15
2310,10,Ricinodendron heudelotii,Euphorbiaceae,38.2,0.445,0.29,0.06,23.2,0.22,Plot10_15
2311,10,Ceiba pentandra,Malvaceae,20,0.25,0.14,0.06,15.8,0.3,Plot10_15
2312,10,Ceiba pentandra,Malvaceae,58,0.89,0.47,0.06,21.1,0.3,Plot10_15
2313,10,Cola millenii,Malvaceae,13,0.15,0.092,0.05,19.8,0.77,Plot10_15
2314,10,Strombosia pustulata,Olacaceae,18,0.2,0.115,0.06,21,0.83,Plot10_15
2315,10,Cola gigantea,Malvaceae,17,0.19,0.141,0.043,22.5,0.54,Plot10_15
2316,10,Spondias mombin,Anacardiaceae,42.8,0.456,0.26,0.05,22.2,0.32,Plot10_15
2317,10,Cola millenii,Malvaceae,13,0.16,0.11,0.04,19.7,0.77,Plot10_15
2318,10,Olax subscorpioidea,Olacaceae,31,0.34,0.17,0.054,20.9,0.77,Plot10_15
2319,10,Trichilia heudelotii,Meliaceae,32.9,0.37,0.29,0.06,21.7,0.44,Plot10_15
2320,10,Brachystegia eurycoma,Fabaceae,74.2,0.9,0.51,0.07,26,0.52,Plot10_15
2321,10,Spondias mombin,Anacardiaceae,54,0.68,0.402,0.06,23.4,0.32,Plot10_15
2322,10,Funtumia elastica,Apocynaceae,17.5,0.251,0.105,0.055,16.3,0.51,Plot10_15
2323,10,Cola millenii,Malvaceae,15,0.19,0.124,0.05,22.8,0.77,Plot10_15
2324,10,Ficus exasperata,Moraceae,30.4,0.41,0.23,0.062,19.4,0.34,Plot10_15
2325,10,Funtumia elastica,Apocynaceae,16.3,0.18,0.101,0.05,16,0.51,Plot10_15
2326,10,Triplochiton scleroxylon,Malvaceae,37.6,0.476,0.281,0.049,23.6,0.34,Plot10_15
2327,10,Brachystegia eurycoma,Fabaceae,36,0.42,0.29,0.048,24.2,0.52,Plot10_15
2328,10,Celtis zenkeri,Cannabaceae,50.5,0.595,0.439,0.057,22.7,0.65,Plot10_15
2329,10,Ricinodendron heudelotii,Euphorbiaceae,39,0.42,0.31,0.05,23.7,0.22,Plot10_15
2330,10,Hildegardia barteri,Malvaceae,16.6,0.2,0.145,0.047,19.5,0.33,Plot10_15
2331,10,Brachystegia eurycoma,Fabaceae,39.1,0.57,0.27,0.06,24.1,0.52,Plot10_15
2332,10,Brachystegia eurycoma,Fabaceae,26,0.32,0.197,0.072,24.3,0.52,Plot10_15
2333,10,Sterculia oblonga,Malvaceae,47.8,0.517,0.33,0.038,20.5,0.61,Plot10_15
2334,10,Cleistopholis patens,Annonaceae,24.5,0.28,0.2,0.06,21.7,0.37,Plot10_15
2335,10,Dialium guineense ,Fabaceae,19,0.205,0.146,0.05,19.2,0.88,Plot10_15
2336,10,Cola gigantea,Malvaceae,50.5,0.63,0.43,0.048,20.1,0.54,Plot10_15
2337,10,Cola gigantea,Malvaceae,21,0.25,0.125,0.07,21,0.54,Plot10_15
2338,10,Brachystegia eurycoma,Fabaceae,12.5,0.159,0.109,0.035,15.3,0.52,Plot10_15
2339,10,Microdesmis puberula,Pandacea,30,0.355,0.23,0.045,14.44,0.7,Plot10_16
2340,10,Cola millenii,Malvaceae,16.5,0.21,0.121,0.043,10.7,0.77,Plot10_16
2341,10,Sterculia tragacantha,Malvaceae,14.8,0.18,0.095,0.037,13.5,0.48,Plot10_16
2342,10,Spondias mombin,Anacardiaceae,19,0.225,0.117,0.039,20.4,0.32,Plot10_16
2343,10,Lophira alata,Ochnaceae,48.8,0.605,0.36,0.057,23.8,0.88,Plot10_16
2344,10,Zanthoxylum leprieurii,Rutaceae,24.2,0.267,0.203,0.06,19.3,0.59,Plot10_16
2345,10,Spondias mombin,Anacardiaceae,13.3,0.155,0.09,0.04,16.3,0.32,Plot10_16
2346,10,Ricinodendron heudelotii,Euphorbiaceae,67,0.84,0.42,0.06,24.3,0.22,Plot10_16
2347,10,Ficus mucuso,Moraceae,37.8,0.445,0.207,0.059,25.5,0.41,Plot10_16
2348,10,Lophira alata,Ochnaceae,29.6,0.32,0.2,0.049,12.6,0.88,Plot10_16
2349,10,Cola gigantea,Malvaceae,10.5,0.125,0.082,0.04,7.7,0.54,Plot10_16
2350,10,Cola millenii,Malvaceae,21.5,0.25,0.135,0.032,19.6,0.77,Plot10_16
2351,10,Zanthoxylum leprieurii,Rutaceae,19,0.21,0.15,0.067,15.1,0.59,Plot10_16
2352,10,Celtis zenkeri,Cannabaceae,29,0.305,0.149,0.053,19.9,0.65,Plot10_16
2353,10,Newbouldia laevis,Bignoniaceae,15,0.172,0.099,0.05,17.3,0.49,Plot10_16
